length_ft,width_ft,length_norm,surface_code,lighted,area,size_category
30.0,30.0,0.001,123,0,900.0,small
2902.0,150.0,0.09673333333333334,512,0,435300.0,large
1200.0,80.0,0.04,337,0,96000.0,medium
4000.0,200.0,0.13333333333333333,551,0,800000.0,large
1300.0,50.0,0.043333333333333335,361,0,65000.0,medium
42.0,42.0,0.0014,123,0,1764.0,small
1935.0,100.0,0.0645,512,1,193500.0,medium
60.0,60.0,0.002,25,0,3600.0,small
2000.0,50.0,0.06666666666666667,168,0,100000.0,medium
50.0,50.0,0.0016666666666666668,123,1,2500.0,small
2600.0,75.0,0.08666666666666667,501,0,195000.0,medium
4700.0,1400.0,0.15666666666666668,551,0,6580000.0,large
2584.0,80.0,0.08613333333333334,511,0,206720.0,large
3165.0,80.0,0.1055,501,0,253200.0,large
4138.0,104.0,0.13793333333333332,501,0,430352.0,large
2500.0,100.0,0.08333333333333333,501,0,250000.0,large
60.0,56.0,0.002,36,0,3360.0,small
5000.0,150.0,0.16666666666666666,501,1,750000.0,large
50.0,50.0,0.0016666666666666668,115,0,2500.0,small
2500.0,60.0,0.08333333333333333,301,0,150000.0,medium
30.0,30.0,0.001,123,0,900.0,small
5000.0,1500.0,0.16666666666666666,551,0,7500000.0,large
1320.0,70.0,0.044,501,0,92400.0,medium
2500.0,70.0,0.08333333333333333,301,1,175000.0,medium
40.0,40.0,0.0013333333333333333,115,0,1600.0,small
2500.0,60.0,0.08333333333333333,512,0,150000.0,medium
30.0,15.0,0.001,501,0,450.0,small
2190.0,100.0,0.073,512,0,219000.0,large
2000.0,60.0,0.06666666666666667,501,0,120000.0,medium
1000.0,18.0,0.03333333333333333,25,0,18000.0,small
45.0,45.0,0.0015,383,1,2025.0,small
3200.0,90.0,0.10666666666666667,511,0,288000.0,large
60.0,60.0,0.002,435,1,3600.0,small
11088.0,6000.0,0.3696,551,0,66528000.0,large
2640.0,50.0,0.088,501,0,132000.0,medium
2140.0,48.0,0.07133333333333333,501,0,102720.0,medium
3725.0,50.0,0.12416666666666666,47,1,186250.0,medium
2600.0,80.0,0.08666666666666667,168,0,208000.0,large
2692.0,120.0,0.08973333333333333,512,1,323040.0,large
3200.0,50.0,0.10666666666666667,501,0,160000.0,medium
1300.0,75.0,0.043333333333333335,501,0,97500.0,medium
3000.0,100.0,0.1,512,1,300000.0,large
80.0,80.0,0.0026666666666666666,123,1,6400.0,small
90.0,90.0,0.003,25,0,8100.0,small
1400.0,40.0,0.04666666666666667,501,0,56000.0,medium
550.0,60.0,0.018333333333333333,501,0,33000.0,small
500.0,40.0,0.016666666666666666,501,0,20000.0,small
3000.0,50.0,0.1,501,0,150000.0,medium
1800.0,50.0,0.06,501,1,90000.0,medium
1029.0,40.0,0.0343,501,0,41160.0,small
2800.0,20.0,0.09333333333333334,337,0,56000.0,medium
200.0,150.0,0.006666666666666667,501,0,30000.0,small
50.0,50.0,0.0016666666666666668,25,0,2500.0,small
2129.0,30.0,0.07096666666666666,42,1,63870.0,medium
42.0,42.0,0.0014,115,0,1764.0,small
200.0,100.0,0.006666666666666667,501,0,20000.0,small
2015.0,75.0,0.06716666666666667,115,0,151125.0,medium
